.term	section	course	instructor	whenWhere
Summer 2016	9025	MATH-114	Abadia	MTWTH 12:45-2:50pm SRC-W222 6/20-7/28
Summer 2015	9025	MATH-114	Abadia	MTWTH 12:45-2:50pm SRC-W222 6/15-7/23
Fall 2007	9078	MATH-120	Abadia	TTH 8:30-10:45am SRC-E226 8/16-12/16
Fall 2014	9091	MATH-142	Abadia	MW 4:00-5:50pm SRC-E227
Fall 2013	9091	MATH-142	Abadia	MW 4:00-5:50pm SRC-E227
Spring 2006	9123	MATH-080C	Abadia	TTH 3:00-5:50pm ALHS 1/16-3/15
Spring 2007	9123	MATH-080C	Abadia	TTH 3:00-5:50pm ALHS 1/16-3/15
Fall 2015	9273	MATH-120	Abadia	MW 3:30-5:45pm SRC-W217
Summer 2018	9277	MATH-142	Abadia	MTWTH 10:30AM-01:20PM SRC-W220 6/18-7/26
Summer 2018	9283	MATH-142	Abadia	MTWTH 01:30PM-04:20PM SRC-W217 6/18-7/26
Summer 2014	9283	MATH-142	Abadia	MTWTH 12:45-3:35pm SRC-W221 6/16-7/24
Spring 2016	9366	MATH-051	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2016	9380	MATH-075SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2017	9380	MATH-075SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2018	9380	MATH-075SP	Abadia	TTH 06:30PM-09:00PM SRC-E161
Spring 2017	9380	MATH-075SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2016	9380	MATH-075SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2019	9380	MATH-075SP	Abadia	TTH 06:15PM-08:45PM SRC-E161
Spring 2019	9381	MATH-090SP	Abadia	TTH 06:15PM-08:45PM SRC-E161
Fall 2016	9381	MATH-090SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9381	MATH-090SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2017	9381	MATH-090SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2016	9381	MATH-090SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2018	9381	MATH-090SP	Abadia	TTH 06:30PM-09:00PM SRC-E161
Fall 2018	9382	MATH-120SP	Abadia	TTH 06:30PM-09:00PM SRC-E161
Spring 2016	9382	MATH-120SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2017	9382	MATH-120SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9382	MATH-120SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2016	9382	MATH-120SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2019	9382	MATH-120SP	Abadia	TTH 06:15PM-08:45PM SRC-E161
Spring 2019	9382	MATH-120SP	Abadia	TTH 06:15PM-08:45PM SRC-E161
Spring 2019	9383	MATH-135SP	Abadia	TTH 06:15PM-08:45PM SRC-E161
Spring 2019	9383	MATH-135SP	Abadia	TTH 06:15PM-08:45PM SRC-E161
Fall 2016	9383	MATH-135SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9383	MATH-135SP	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2018	9383	MATH-135SP	Abadia	TTH 06:30PM-09:00PM SRC-E161
Fall 2017	9383	MATH-135SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2016	9383	MATH-135SP	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2016	9385	MATH-050	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9385	MATH-050	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2016	9385	MATH-050	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2016	9386	MATH-051	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9386	MATH-051	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9387	MATH-052	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2016	9387	MATH-052	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2016	9387	MATH-052	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2019	9387	MATH-052	Abadia	TTH 06:15PM-08:45PM SRC-E160
Spring 2016	9388	MATH-053	Abadia	TTH 6:30-8:45pm SRC-E160
Fall 2016	9388	MATH-053	Abadia	TTH 6:30-8:45pm SRC-E160
Spring 2017	9388	MATH-053	Abadia	TTH 6:30-8:45pm SRC-E160
